	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YCR094W	-0.24	-0.24	0.28	0.23	0.35	0.02	-0.24	-0.05	-0.3	-0.16	-0.03	-0.01	0.3	0.22	-0.18	0.32	-0.41	-0.01	-0.1	0.3	-0.49	0.14	0.02	0.28
YCR095C	0.22	0.61	0.36	0.04	-0.67	0.07	0.37	-0.09	-0.29	0.04	-0.43	0.02	-0.29	0	-0.13	0.22	-0.05	0.07	-0.32	-0.25	0.22	0.14	0.02	0.15
YCR096C	-0.17	-0.15	-0.17	-0.32	-0.51	-0.03	-0.01	0.02	-0.58	0.24	-0.24	-0.12	-0.49	-0.15	-0.24	-0.36	-0.85	0.55	-1.17	1.09	-0.21	1.04	1.22	1.62
YCR097WA	0.09	0.16	0.05	-0.55	-0.03	-0.91	0.89	-1	0.5	-0.45	-0.05		0.36	-0.86	0.5	0.34	0.34	0.11	0.61	0.14	1.02	-0.66	-0.26	-0.32
YCR097WB	0.01	0.22	-0.18	-0.38	0.56	-0.5	1.18	-0.13	0.31	-0.6	0.67		0.93	-0.26	0.33	-1.23		-0.26	0.72	0.33		-1.04	-0.29	-0.4
YCR098C	-1.72	-2.05	-1.39	-1.17	-1.36	-0.94	-0.63	-0.6	-0.38	-0.36	-0.74	0.34	0.46	0.76	1.15	0.89	1.22	1.12	0.91	0.47	1.39	0.83	0.75	1.08
YCR099C																								
YCR100C										-1.58						-0.63							2.21	
YCR101C	-0.37	-0.33	-0.13	-0.47	0.17	-0.54	0.17	-0.39	0.84	-0.1	0.73	-0.22	0.63	-0.18	0.19	-0.39	-0.08	-0.2	0.3	0.29	0.21	-0.02	0.01	-0.1
YCR102C																								
YCR103C	1.08	0.68	0.17	-0.22	0.2	-0.54	0.06	-0.51	0.02	-0.26	0.19	-0.24	0.09	-0.37	0.23	-0.03	0.14	-0.2	0.15	-0.12	0.39	-0.16	-0.37	-0.39
YCR104W										-1.77								1.77						
YCR105W	0.12	0.4	0.06	-0.18	0.4	-0.3	0.68	-0.18	-0.32	0.06	-0.06	-0.13	0.4	-0.5	0.14	-0.24	0.24	-0.3	0.75	0.12	-0.15	-0.3	-0.17	-0.53
YCR106W	-0.43	-0.13	-0.6	-0.15	0.49	-0.67	0.96	-0.25	0.41	-0.49	-0.08	-0.29	0.55	0.83	0.72	-0.24	0.27	-0.17	0.76	0.46	1.05	-0.9	-0.9	-1.18
YCR107W	-0.47	-0.41	-0.26	-0.31	0.34	-0.34	0.19	-0.36	0.31	-0.24	0.14	-0.34	0.87	-0.34	-0.02	-0.06	0	-0.13	0.3	1.49	0.73	-0.32	-0.5	-0.27
YCRX01W																								
YCRX02C	-0.49						-0.33																0.81	
YCRX03C																								
YCRX04W																								
YCRX05W																								
YCRX06W																								
YCRX07W																								
YCRX08W																								
YCRX09C	-0.11	0.39	0.01	-0.38	0.17	-0.64	0.72	-0.66		-0.4	0.22	-0.74	0.35	-0.54	1.17	0.05	0.51	-0.64	0.52	0.69	0.68	-0.13	-0.38	-0.85
YCRX10W																								
YCRX11W															3.03	-0.85		-2.17						
YCRX12W	-0.4	-0.06	1	-0.2	0.35	-0.25	0.32	-0.09	-0.07	-0.17	0.31	-0.04	0.39	-0.3	0.28	-0.29	0.13	-0.52	-0.01	0.18	-0.04	0.09	-0.17	-0.46
YCRX13W	-0.11	0.26	0.09													-0.24								
YCRX14W																								
YCRX15W	-0.58											-0.04											0.62	
YCRX16C						-0.95		-0.47								-1.28		2.7						
YCRX17W																								
YCRX18C																								
YCRX19W																								
YCRX20C	0.23	0.12	0.02	-0.23	0.38	-0.28	0.35	-0.09	0.3	-0.09	0.21	-0.26	0.38	-0.11	-0.26	-0.26	0.12	-0.23	0.36	0.41	0.17	-0.16	-0.44	-0.62
YCRX21C	-0.17	0.03	0.14																					
YDL001W	0.38	0.5	0.26	0.18	-0.16	0.09	-0.12	0.13	-0.31	0.46	-0.33	0.21	-0.51	0	-0.51	0.1	-0.6	0.13	-0.43	0.23	-0.49	0.36	0.17	0.26
YDL002C	0.39	0.48	0.1	-0.25	-0.17	-0.48	-0.06	-0.26		-0.05	0.08	-0.26	-0.01	0.02	0.27	0.13	-0.31	-0.3	-0.28	0.86	-0.26	0.09	-0.01	0.27
YDL003W	-0.94	1.93	1.93	-0.22	-0.71	-1.31	-1.18	-1.68	-0.94	0.89	1.16	1.48	1	1.13	-0.22	-0.16	-0.98	-0.84	-0.81	-0.08	-0.57	0.62	0.18	0.32
YDL004W																								
YDL005C																								
YDL006W	-0.12	0.24	0.11	0.01	0.15	-0.4	-0.17	-0.44	-0.29	-0.32	0.29	0.01	0.3	0.38	0.4	0.08	0.15	-0.56	0.02	0.38	0.52	-0.22	-0.29	-0.22
YDL007W					-0.25		0.25																	
YDL008W		-0.08																				0.08		
YDL009C		-0.73					0.73																	
YDL010W																								
YDL011C		0.62			0.02		-0.63																	
YDL012C																								
YDL013W	-0.12				-0.74							0.23	0.63											
YDL014W	0.31	0.49	0.38	0.48	-0.02	0.59	0.08	0.4	0	0.24	-0.16	0.16	-0.33	-0.2	-0.47	0.11	0.1	0.23	-0.18	-0.49	-0.25	-0.38	-0.51	-0.59
YDL015C	-0.09	-0.46	-0.48	-0.08	0.49	0.01	0.38	-0.02	0.55	0.04	0.15	0.06	0.45	-0.22	-0.06	-0.15	0.06	0.03	0.49	-0.34	-0.06	-0.28	-0.28	-0.17
YDL016C	0.13	-0.04	-0.25	0.1	0	-0.02	0.37	-0.29	0.18	0.05	0.25	0.01	0.33	-0.11	0.05	-0.2	0.21	0	0.43	-0.69	0.21	-0.35	-0.15	-0.2
YDL017W	0.36	0.6	0.64	0.47	0.2	-0.27	0.03	-0.08	-0.3	0.23	-0.14	0.19	0	0.15	-0.14	-0.11	-0.27	-0.41	-0.37	-0.2	-0.22	-0.2	-0.25	0.1
YDL018C	0.01	0.34	1.03	-0.12	-0.74	-0.78	0.64	-1.29	-0.94	0.31	0.59	1	0.84	0.75	-0.1	-0.1	-0.74	-0.58	-0.52	-0.69	-0.2	0.42	0.42	0.44
YDL019C	0.07	0.43	-0.46	-0.31	0.55	-0.33	0.4	0.07	0.63	-0.49	0.21	1.02	0.2	-0.46	0.28	-0.63		-0.36	0.75	0.4		-0.54	-0.63	-0.82
YDL020C	0.95	0.28	-0.25	0.23	-0.8	0.07	-0.44	0.12	-0.41	0.16	-0.25	-0.07	-0.19	-0.13	-0.34	0.11	-0.34	0.45	-0.15	-0.07	-0.32	0.58	0.34	0.49
YDL021W	-0.1	-0.38	-0.35	-0.16	0.18	-0.37	0.37	-0.13	0.05	-0.2	-0.38	-0.2	-0.37	0.24	0.77	-0.11		-0.2	0.29	0.18		0.29	0.11	0.48
YDL022W	0.36	-1.24	-1.51	0.1	-0.37	0.23	-0.53	0.19	0.33	0.81	0.02	0.3	-0.06	0.19	-0.13	0.05	-0.55	0.07	-0.4	-0.29	0.32	0.77	0.62	0.74
YDL023C	0.34	-1.46	-1.65	-0.07	0.26	0.03	-0.1	0.08	0.42	0.69	0.13	0.28	-0.77	0.15	0.08	-0.23	-0.42	-0.09	-0.32	0.45	0.69	0.54	0.44	0.52
YDL024C	-0.27	-0.51	-0.49	-0.1	-0.58	-0.1	0.77	0.03	1	-0.1	0.17	-0.13	-0.04	-0.42	0.36	0.12	0.69	-0.15	0.64	-0.08	0.55	-0.46	-0.53	-0.37
YDL025C	-0.2	-0.18	-0.2	-0.09	0.22	0.02	-0.3	-0.01	-0.32	0.36	-0.15	0.12	-0.82	-0.07	-0.04	-0.03	-0.13	-0.09	-0.09	0.49	0.13	0.56	0.34	0.47
YDL026W	-0.25	-0.14	-0.15	-0.29	0.53	-0.98	0.34	-0.83	0.33	-0.49	0.33	-0.37	0.35	-0.58	0.7	-0.29	0.34	-0.56	0.16	0.95	0.8	0	0.08	0.02
YDL027C	-0.09	-0.14	0.03	-0.25	0.75	-0.56	-0.44	-0.54	-0.12	-0.14	0.13	0.12	0.55	0.13	0.11	-0.14	-0.67	-0.32	-0.06	0.41	-0.09	0.38	0.38	0.58
YDL028C	-0.33	-0.22	0.15	0.16	0.45	-0.21	0.3	-0.24	-0.05	-0.71	-0.09	-0.31	-0.09	0.31	0.76	0.31	-0.02	0.01	-0.06	0.59	0.65	-0.29	-0.57	-0.51
YDL029W	-0.61	-0.71	-0.46	0.01	0.14	-0.1	-0.26	-0.17	0.04	0.17	-0.04	0.47	0.18	0.25	-0.05	0.22	-0.52	0.21	0.13	0.24	-0.24	0.44	0.21	0.48
YDL030W	-0.2	0.11	-0.07	-0.15	0.08	-0.3	0.17	-0.39	0.22	-0.37	0.01	-0.34	-0.03	0.42	0.55	0.22	0.03	-0.2	0.03	0.54	0.66	-0.25	-0.36	-0.37
YDL031W	1.15	1.01	0.53	0.17	0.01	0.22	-0.09	0.17	0.01	0.17	-0.08	0.06	-0.29	-0.24	-0.64	0.44	-0.86	-0.01	-0.08	0.19	-0.89	-0.01	-0.61	-0.33
YDL032W	-0.43	-0.45	-0.34	-0.27	0.59	-0.36	0.26	-0.38	0.34	-0.06	0.04	-0.18	0.01	-0.22	0.52	0.1	0.18	-0.06	0.35	0.57	0.82	-0.38	-0.32	-0.34
YDL033C	-0.28	-0.26	-0.03	-0.11	-0.43	-0.22	-0.53	-0.08	0.26	-0.16	0.02	0.21	0.43	-0.03	0.45	0.28	-0.26	0.22	0.51	0.27	-0.04	0.06	-0.33	0.05
YDL034W	-0.19	-0.15	-0.36	-0.24	0.41	-0.37	0.4	-0.24	0.26	-0.21	0.17	-0.37	0.15	-0.26	0.26	0.11	0.42	-0.06	0.06	0.74	0.6	-0.34	-0.46	-0.34
YDL035C	-0.34	0.05	-0.21	-0.48	0.15	-0.34	0.34	-0.36	0.17	-0.21	-0.32	0.56	0.31	-0.19	0.66	-0.61	0.28	-0.13	0.55	0.21	0.87	-0.66	-0.03	-0.25
YDL036C	0.4	0.45	0.11	-0.16	-0.06	-0.27	0.03	-0.09	0	0.02	-0.18	-0.27	-0.28	0.27	-0.04	0.08	-0.01	-0.36	0.15	0.59	0.27	-0.09	-0.34	-0.21
YDL037C	1.87	0.26	-1.53	0.59	1.09	0.13	1.6	1.14	1.83	0.25	0.33	-0.4	-0.52	-0.75	0.2	0.17	1.04	0.15	1.65	-1.3	-1.02	-2.2	-2.3	-2.28
YDL038C	1.55	0.31	-0.62	0.61	0	0.44	0.25	0.38	1.16	0.21	0	-0.19	-0.57	-0.57	-0.1	0.25	0.67	0.31	0.59	-1.25	-0.71	-0.85	-0.92	-0.96
YDL039C	2.02	0.39	-0.86	0.01	1.37	0.15	1.55	1.04	1.63	0.16	0.5	-0.85	-0.72	-1.29	0.43	0.24	0.95	-0.09	1.19	-0.9	-0.62	-2.23	-2.08	-1.99
YDL040C	0.2	0.45	0.37	0.05	-0.47	0.17	-0.47	-0.01	-0.33	0.24	0.07	-0.03	-0.21	-0.03	-0.21	0.17	-0.21	-0.05	-0.03	-0.14	-0.09	0.35	0.13	0.07
YDL041W	0.56	0.35	0.39	0.02	-0.33	0.27	-0.28	0.31	-0.03	0.44	-0.11	0.24	-0.53	-0.09	-0.64	0.19	-0.72	0.18	-0.26	0.02	-0.46	0.27	0.08	0.15
YDL042C	0.61	0.59	0.47	0.12	-0.44	0.25	-0.16	0.22	-0.69	0.25	0	0.22	-0.24	0.1	-0.53	0.16	-0.28	0.18	-0.28	-0.41	-0.16	0.03	-0.02	0.03
YDL043C	0.39	0.18	0.18	0.09	-0.29	0.19	-0.45	0.36	-0.31	0.27	-0.29	0.19	-0.57	-0.06	-0.54	0.27	-0.54	0.25	-0.54	0.03	-0.16	0.56	0.31	0.47
YDL044C	0.27	0.36	0.02	-0.21	-0.27	-0.11	-0.13	0.03	-0.4	0.1	0.26	-0.23	-0.31	-0.19	0.02	0.1	-0.25	-0.19	0	0.12	-0.04	0.37	0.29	0.4
YDL045C	0.07	0.01	0	-0.15	-0.2	-0.1	0.01	0.03	-0.08	0.21	-0.12	0.27	-0.93	0.07	-0.35	0.11	-0.51	0.18	-0.04	0.22	0.23	0.22	0.31	0.53
YDL045W-A	-0.74	-0.35	-0.65	0.32	0.01	-0.86	0.29	-0.1	0.06	-0.72	0.32		1.5	0.48	0.42	-0.51	-0.15	0.14	0.34	0.62	0.66	-1.04	0.45	-0.47
YDL046W	-0.34	-0.4	-0.48	-0.13	-0.17	0.1	-0.15	0.23	0.16	0.14	0.15	0.11	0.24	-0.28	-0.06	0.09	0.45	0.36	0.53	-0.8	0.27	0.04	-0.08	0
YDL047W	0.6	0.78	0.49	0	-0.63	0.12	-0.18	0.16	-0.18	0.66	0.13	0.54	-1	0.06	-0.7	0.18	-0.91	0.17	-0.22	-0.73	-0.57	0.65	0.25	0.33
YDL048C	0.76	0.55	0.46	0.31	-0.19	0.3	-0.23	0.49	0.51	0.05	-0.65	-0.05	-0.46	-0.57	0.01	0.15	0.78	0.29	0.51	-0.76	-0.34	-0.49	-0.73	-0.71
YDL049C	0.78	0.71	0.32	-0.22	0.24	-0.46	0.22	-0.16	0.24	-0.2	-0.04	-0.07	-0.22	-0.49	0.38	-0.05	0.18	-0.27	0.53	-0.42	0.37	-0.42	-0.51	-0.44
YDL050C	0.68	1.2	0.68	0.07	0.09	-0.14	-0.03	-0.02	0.23	0.05	0.21	-0.13	-0.35	-0.18	-0.09	-0.02	-0.54	0.09	-0.42	0.64	0.02	-0.49	-0.76	-0.79
YDL051W	0.95	1.28	1.09	0.08	0.11	-0.11	0.22	0.13	0.01	0.11	-0.19	0.03	-0.57	-0.09	-0.65	0.16	-0.99	0.15	-0.11	0.19	-1.02	-0.36	-0.38	-0.07
YDL052C	-0.65	-0.9	-0.42	-0.14	0.72	-0.27	0.34	-0.37	0.57	-0.55	0.09	-0.21	0.67	-0.04	0.84	0.26	-0.42	0.01	0.54	0.35	0.64	-0.48	-0.33	-0.25
YDL053C	0.38	0.32	0.2	-0.05	0.05	-0.14	-0.02	-0.08	-0.02	0.12	-0.18	0.29	-0.22	-0.11	-0.16	0.11	-0.64	0.26	0.18	0.2	-0.75	0.07	0.06	0.15
YDL054C	-0.43	-0.29	-0.31	-0.11	0.46	-0.47	0.3	-0.34	0.2	-0.33	0.22	0.07	0.55	-0.38	0.77	0.01	-0.02	-0.23	0.67	0.2	0.72	-0.41	-0.52	-0.34
YDL055C	-2.35	-0.38	0.91	0.56	0.83	-0.04	-0.42	-1.54	-1.42	-0.65	0.4	1.2	1.27	1.16	1.02	0.82	-0.18	0	0.04	-0.72	-1.31	-0.18	0.36	0.61
YDL056W	-0.81	-0.81	-0.63	-0.07	1.13	-0.53	0.65	-1.02	0.84	-0.5	0.68	-0.81	0.52	0.28	0.78	-0.24	0.66	0	0.84	1.13	1.27	-0.6	-1.12	-1.63
YDL057W	0.17	0.09	0.11	-0.65	-0.14	-0.55	0.18	-0.14	0.24	-0.36	0.08	0.05	0.08	-0.32	0.66	-0.2	-0.6	-0.16	0.57	0.34	0.09	0.14	0.06	0.27
YDL058W	-0.93	0.03	0.75	0.12	-0.14	-0.14	-0.3	-0.24	-0.05	0.07	0.19	0.22	0.05	0.22	-0.13	0.02	0.24	-0.28	0.42	0.43	0.03	0.12	-0.28	-0.39
YDL059C	-0.33	-0.18	0.15	-0.24	-0.13	-0.49	-0.07	-0.22	0.26	-0.25	0.04	0.13	-0.22	-0.07	0.78	0.04	-0.4	0.06	0.26	0.31	0.09	0.13	0.01	0.33
YDL060W	1.11	0.91	0.5	0.28	0.13	0.27	0.03	-0.01	-0.52	0.1	-0.14	-0.19	-0.12	-0.03	-0.52	0.48	-0.8	-0.08	-0.46	0.67	-0.7	-0.14	-0.46	-0.31
YDL061C	-0.92	-0.73	-0.43	-0.12	0.81	0.07	0.69	0.07	1.03	-0.04	0.37	0.26	0.32	-0.31	0.16	-0.19	-0.23	0.03	0.74	-0.1	-0.36	-0.46	-0.71	0.06
YDL062W	0.94	0.78	0.47	0.28	0.31	0.01	0.17	-0.01	0.01	-0.05	-0.07	-0.2	-0.15	-0.41	0.01	0.27	0.64	-0.09	-0.09	-0.05	-0.63	-0.46	-0.75	-0.92
YDL063C	0.91	0.74	0.48	0.4	0.17	0.18	0.37	0.37	-0.17	0.21	-0.47	-0.08	-1.01	-0.1	-0.37	0.54	-0.39	0.24	0.18	-0.06	-0.8	-0.3	-0.62	-0.41
YDL064W	0.25	0.38	0.54	0.63	0.17	0.44	-0.38	0.05	-0.71	-0.05	-0.36	0.13	-0.34	0.07	-0.05	0.53	-0.11	0.34	-0.44	-0.49	-0.87	0.05	-0.1	0.31
YDL065C	-0.55	-0.18	0.16	0.19	0.22	0.1	0.08	0.43	-0.13	0.31	-0.36	0.11	-0.96	0.1	-0.53	0.08	-0.26	0.05	0.3	0.05	0.11	0.2	0.16	0.3
YDL066W	-0.39	-0.54	-0.31	0.28	-0.25	0.48	-0.54	0.44	-0.33	0.44	-0.18	0.35	-0.2	0.27	-0.29	0.26	-0.06	0.37	-0.16	-0.31	-0.22	0.24	0.15	0.48
YDL067C	-0.88	-0.7	-0.23	-0.19	0.78	-0.11	0.62	0.37	0.66	0.12	0.19	0.11	-0.41	-0.7	-0.32	-0.18	0.05	0.22	0.8	-0.29	0.02	0.03	-0.18	0.23
YDL068W	-0.46	-0.03	0.26	0.09	0.02	0.07	-0.22	0.02	-0.01	-0.26	0		0.02	-0.46	0.04	0.27	0.15	-0.01	-0.03	0.21	0.1	0.09	-0.07	0.18
YDL069C	-0.03	0.18	0.37	-0.02	-0.16	-0.37	-0.22	0.14	-0.46	0.14	-0.65	0.16	-1.02	0	0.21	0.26	0.29	0.36	0.35	-0.02	-0.24	0.32	-0.02	0.42
YDL070W	0.56	0.03	0.45	0.53	-0.49	0.31	-0.78	0.01	-1.1	0.14	-0.58	0.07	-0.32	0.27	-0.52	1.02	-0.17	0.54	-0.71	0.11	-0.89	0.72	0.31	0.53
YDL071C	0.36	-0.01	0.61	-0.28	-0.09	-0.64	0.26	-0.24	0.11	-0.03	0.01	-0.05	-0.53	-0.11	-0.26	0.18	0.33	-0.17	0.26	0.16	0.31	0.11	-0.26	-0.05
YDL072C	-0.89	-1.17	-0.26	0.27	0.06	0.05	-0.64	-0.18	0.08	0.08	0.14	0.35	0.57	-0.06	0.19	-0.03	0.46	0.05	0.31	-0.62	0.31	0.27	0.29	0.39
YDL073W	-0.11	-0.28	-0.03	0.12	0.7	-0.33	0.37	-0.04	0.11	-0.19	-0.28	-0.04	-0.33	-0.21	0.26	-0.01	0.32	-0.13	0.65	0.27	0.24	-0.21	-0.56	-0.28
YDL074C	0.49	0.3	0.27	0.46	-0.66	0.18	-0.05	-0.09	-0.43	-0.03	-0.41	-0.05	0.12	0.53	0.23	0.31	0.06	0.1	0.04	0.15	-0.15	0.27	0.04	-1.66
YDL075W	-0.57		0.57																					
YDL076C	-0.02	-0.25	-0.02	0.08	0.48	-0.43	0.31	-0.32	-0.18	-0.51	0.03	-0.32	0.16	-0.05	0.29	0.17	0.11	-0.11	-0.06	0.51	0.08	0.09	-0.09	0.03
YDL077C	-0.26	0.64	0.77	0.24	0.24	0.31	-0.41	-0.23	0.53	-4.12	0.39	0.33	0.17	0.28	-0.31	-0.03	0.53	0.03	0.61	0.85	0.59	-0.95	-0.01	-0.21
YDL078C	-0.27	-0.2	-0.23	-0.06	-0.06	-0.23	-0.33	-0.36	-0.64	-0.29	-0.03	0.14	0.04	0.16	0.26	0.3	-0.03	0.06	-0.22	0.64	-0.12	0.49	0.36	0.64
YDL079C	-0.04	0	-0.26	-0.2	0.05	-0.26	0	-0.2	0.33	-0.12	0.1	0.07	0.05	-0.97	0.25	-0.07	0.03	-0.12	1.06	0.16	0.15	0	-0.05	0.04
YDL080C	-0.22	-0.03	-0.17	-0.09	0.34	-0.31	0.25	-0.12	-0.06	-0.24	0.15	-0.19	0.08	-0.19	0.05	0.16	0.21	-0.19	0.39	0.57	0.17	-0.01	-0.24	-0.33
YDL081C	-0.88	-0.82	-0.48	-0.23	0.85	-0.09	0.92	-0.06	1.34	-0.1	0.58	0.28	0.6	-0.45	0.11	-0.23	-0.18	-0.01	1.04	-0.1	-0.2	-0.51	-0.86	-0.5
YDL082W	-0.18	0.26	0.21	0.04	0.27	-0.02	0.27	0.06	-0.38	0.06	0	0.06	-0.27	0.04	-0.44	-0.03	-0.25	0.07	-0.21	0.97	-0.15	0.01	-0.27	-0.1
YDL083C	-0.74	-0.48	-0.18	-0.01	0.73	0.04	0.5	0.06	0.81	-0.03	0.22	0.34	0.26	-0.12	0.26	-0.27	-0.47	-0.01	0.62	0.14	-0.41	-0.31	-0.66	-0.29
YDL084W	-0.3	-0.24	-0.18	0.16	0.68	0.15	0.48	-0.2	-0.02	-0.4	-0.02	-0.28	0.18	-0.11	-0.01	0.34	-0.06	0.34	0.38	-0.09	0.19	-0.42	-0.26	-0.32
YDL085W	-0.09	-0.04	-0.41	-0.71	-0.07	-0.47	0.12	-0.29	0.7	-0.04	0.38	-0.03	0.37	-0.33	0.4	-0.37	0.26	-0.37	0.8	0.29	0.4	-0.17	-0.24	-0.07
YDL086W	0.37	-0.02	-0.22	-0.07	-0.27	0.23	-0.7	0.26	-0.04	0.27	-0.2	0.25	0.03	-0.1	-0.17	0.18	0.27	0.46	-0.01	-0.61	-0.27	0.08	0.03	0.23
YDL087C	0.15	0.09	0.02	-0.14	0.09	-0.47	0.41	0.25	-0.06	0.14	-0.14	0.05	-0.45	-0.08	0	0.14	-0.26	-0.02	0.09	0.09	-0.33	0.28	0.14	0.02
YDL088C	0.4	0.38	0.25	0.33	-0.09	0.37	-0.63	0.35	-0.38	0.19	-0.42	-0.01	-0.34	0.07	-0.44	0.25	0.04	0.13	-0.3	-0.16	-0.47	0.38	-0.02	0.1
YDL089W	-0.27	0.07	-0.04	-0.46	-0.06	-0.71	0.04	0.19	0.19	0.36	0.18	0.29	-0.77	-0.1	-0.24	-0.33	-0.1	-0.04	0.33	0.29	0.23	0.36	0.23	0.33
YDL090C	-0.25	0.01	0.38	-0.22	-0.1	-0.01	-0.38	0.26	0.09	0.45	0.01	0.33	0.11	0.05	-0.65	-0.22	-0.27	0.03	-0.27	0.03	-0.38	0.51	0.3	0.19
YDL091C	-0.06	-0.04	0.05	-0.24	-0.08	-0.5	-0.13	0.23	-0.22	0.19	-0.17	0.2	-0.5	0.09	-0.58	0.05	0.12	0.11	0.27	0.49	-0.33	0.25	0.33	0.45
YDL092W	0.71	0.73	0.68	0.02	-0.03	0.11	-0.43	0.21	-0.34	0.32	-0.28	0.2	-0.23	0.14	-0.5	0.02	-0.01	0.2	-0.62	0.05	-0.95	0.51	-0.98	0.48
YDL093W	-0.09	0.16	0.69	0.11	0.36	-0.84	-0.24	-0.39	-0.01	0.13	0.48	0.5	0.21	0.37	-0.31	-0.17	0.37	-0.39	0.5	-0.2	-0.44	-0.09	-0.24	-0.47
YDL094C	0.29	0.39	0.81	0.31	0.29	-0.11	-0.87	-0.39	-0.25	-0.09	-0.16	0.15	0.49	0.15		-0.11	0.25	-0.04	-0.14		-0.09	-0.16	-0.39	-0.33
YDL095W	0.26	-0.03	0.39	0.48	0.37	-0.54	-0.29	-0.26	-0.26	0.24	0.11	0.53	-0.29	0.54	-1.13	0.13	0.11	-0.05	0.54	-0.38	-0.35	0	0	-0.1
YDL096C	0.33	0.01	0.37	0.43	0.37	-0.02	-0.71	-0.41	-0.19	0.06	0.54	0.37	0.64	0.35	-0.28	-0.05	0.37	-0.19	0.06	-0.99	-0.31	-0.16	-0.25	-0.31
YDL097C	-0.04	0	0.02	-0.17	-0.68	-0.62	-0.62	0	-0.56	0.57	-0.34	0.38	-1.22	0.32	-1.71	0.51	-0.2	0.59	-0.07	0.86	-0.5	1.28	1.1	1.12
YDL098C	0.37	0.38	0.22	-0.6	-0.16	-0.24	0.47	-0.44		-0.38	-0.36	-0.34	-0.24	-0.05	0.23	0.01	0.14	-0.44	0.32	0.4	0.95	0.05	-0.29	-0.02
YDL099W	0.18	0.38	0.19	-0.41	-0.46	-0.38	-0.48	-0.22	-0.07	-0.38	-0.07	0.27		0.16	-0.43	-0.04	-0.56	0.14	-0.16	0.64	-0.48	0.74	0.56	0.89
YDL100C	-0.01	-0.01	-0.02	-0.08	0.25	-0.49	-0.22	-0.62	-0.59	-0.28	-0.06	0.08	-0.18	0.38	0.35	0.18	-0.06	0.15	0.11	0.13	0.06	0.31	0.18	0.42
YDL101C	-0.2	0.36	1.06	-0.08	-0.28	-0.5	-0.5	-0.77	-0.26	-0.01	0.47	0.99	0.55	0.65	0.01	0.05	-0.6	-0.42	-0.01	-0.06	-0.8	0.21	-0.06	0.21
YDL102W	-0.18	0.51	0.32	-0.62	0.01	-0.92	0.25	-0.47	-0.09	0.3	0.89	0.16	0.74	0.71	0.3	-0.3	-0.14	-0.79	0.3	0.46	0.77	-0.42	-1.09	-0.71
YDL103C	0.13	0.25	0.47	-0.33	-0.63	-0.91	-0.63	-0.43	-0.33	0.25	0.09	0.8	0.13	0.43	-0.33	0.04	-0.61	-0.29	-0.03	0.39	-0.18	0.71	0.41	0.61
YDL104C	-0.43	-0.02	0.01	-0.68	0.01	-0.73	0.3	-0.39	0.87	0.01	0.52	0.07	0.25	-0.12	0.45	-0.54	0.07	-0.39		0.71	0.6	0.06	-0.45	-0.17
YDL105W	-0.34	0.38	0.15	-0.7	-0.07	-0.7	-0.29	-0.67	0.35	0.1	0.45	0.3	0.53	0.24	0.21	-0.2	0.51	-0.52	0.56	0.49	0.01	0.06	-0.79	-0.07
YDL106C	-0.39	-0.12	0.21	-0.23	0.51	-0.5	-0.48	-0.48	0.38	-0.27	0.28	-0.31	0.34	-0.07	0.46	-0.14	-0.08	-0.44	0.28	0.93	0.53	0.11	-0.37	-0.17
YDL107W	-0.44	-0.12	-0.21	-0.79	-0.13	-0.33	-0.07	-0.26	0.04	-0.3	-0.07	-0.16	0.24	0	0.31	-0.1	0.29	0	0.28	0.63	0.15	0.43	-0.07	0.68
YDL108W	0.09	0.03	0.11	-0.07	0.18	-0.17	0.2	-0.19	0	-0.24	0.02	-0.36	0.07	-0.22	0.13	-0.14	0.28	-0.24	-0.11	0.61	0.51	-0.09	-0.31	-0.11
YDL109C	-0.18	-0.12	-0.28	-0.39	0.33	-0.54	0.09	-0.28	0.93	-0.2	0.18	0.07	0.38	0.12	0.27	-0.05	0.12	-0.18	0.49	0.1	-0.01	-0.14	-0.39	-0.31
YDL110C	-0.59	-0.92	-0.76	-0.16	-0.02	-0.24	0.08	-0.17	-0.51	0.05	-0.27	0.1	0.11	0.24	0.26	-0.11	-0.08	-0.11	-0.06	0.87	0.5	0.5	0.29	1
YDL111C	0.7	0.47	0.81	0.1	-0.14	0.29	0.2	0.14	0.12	0.14	-0.38	0.27	-0.32	-0.22	-0.81	0.14	0.33	-0.09	0.17	-0.52	-0.14	-0.25	-0.54	-0.48
YDL112W	0.11	0.32	0.16	-0.3	0.21	-0.21	0.52	-0.25	0.06	-0.26	-0.14	0.03	0.42	0.02	-0.03	-0.18	-0.02	-0.23	0.63	0.45	0.64	-0.7	-0.57	-0.68
YDL113C	-0.29	-0.47	0.31	-0.58	0.18	-1.12	-0.12	-0.29	-0.08	-0.04	-0.02	0.13	0.32	-0.14	0.29	-0.44	0.19	-0.52	0.85	0.72	1.61	-0.06	-0.25	-0.16
